"","PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Pred_Survived"
"1",892,3,"male",34.5,0,0,7.8292,"Q",0
"2",893,3,"female",47,1,0,7,"S",0
"3",894,2,"male",62,0,0,9.6875,"Q",0
"4",895,3,"male",27,0,0,8.6625,"S",0
"5",896,3,"female",22,1,1,12.2875,"S",1
"6",897,3,"male",14,0,0,9.225,"S",0
"7",898,3,"female",30,0,0,7.6292,"Q",1
"8",899,2,"male",26,1,1,29,"S",0
"9",900,3,"female",18,0,0,7.2292,"C",1
"10",901,3,"male",21,2,0,24.15,"S",0
"11",902,3,"male",24.5,0,0,7.8958,"S",0
"12",903,1,"male",46,0,0,26,"S",0
"13",904,1,"female",23,1,0,82.2667,"S",1
"14",905,2,"male",63,1,0,26,"S",0
"15",906,1,"female",47,1,0,61.175,"S",1
"16",907,2,"female",24,1,0,27.7208,"C",1
"17",908,2,"male",35,0,0,12.35,"Q",0
"18",909,3,"male",21,0,0,7.225,"C",0
"19",910,3,"female",27,1,0,7.925,"S",0
"20",911,3,"female",45,0,0,7.225,"C",0
"21",912,1,"male",55,1,0,59.4,"C",0
"22",913,3,"male",9,0,1,3.1708,"S",0
"23",914,1,"female",38.5,0,0,31.6833,"S",1
"24",915,1,"male",21,0,1,61.3792,"C",1
"25",916,1,"female",48,1,3,262.375,"C",1
"26",917,3,"male",50,1,0,14.5,"S",0
"27",918,1,"female",22,0,1,61.9792,"C",1
"28",919,3,"male",22.5,0,0,7.225,"C",0
"29",920,1,"male",41,0,0,30.5,"S",0
"30",921,3,"male",21.5,2,0,21.6792,"C",0
"31",922,2,"male",50,1,0,26,"S",0
"32",923,2,"male",24,2,0,31.5,"S",0
"33",924,3,"female",33,1,2,20.575,"S",0
"34",925,3,"female",20,1,2,23.45,"S",1
"35",926,1,"male",30,1,0,57.75,"C",0
"36",927,3,"male",18.5,0,0,7.2292,"C",0
"37",928,3,"female",24.5,0,0,8.05,"S",1
"38",929,3,"female",21,0,0,8.6625,"S",1
"39",930,3,"male",25,0,0,9.5,"S",0
"40",931,3,"male",25.5,0,0,56.4958,"S",0
"41",932,3,"male",39,0,1,13.4167,"C",0
"42",933,1,"male",38.5,0,0,26.55,"S",0
"43",934,3,"male",41,0,0,7.85,"S",0
"44",935,2,"female",30,0,0,13,"S",1
"45",936,1,"female",45,1,0,52.5542,"S",1
"46",937,3,"male",25,0,0,7.925,"S",0
"47",938,1,"male",45,0,0,29.7,"C",0
"48",939,3,"male",24.5,0,0,7.75,"Q",0
"49",940,1,"female",60,0,0,76.2917,"C",1
"50",941,3,"female",36,0,2,15.9,"S",0
"51",942,1,"male",24,1,0,60,"S",0
"52",943,2,"male",27,0,0,15.0333,"C",0
"53",944,2,"female",20,2,1,23,"S",1
"54",945,1,"female",28,3,2,263,"S",1
"55",946,2,"male",31.5,0,0,15.5792,"C",0
"56",947,3,"male",10,4,1,29.125,"Q",0
"57",948,3,"male",35,0,0,7.8958,"S",0
"58",949,3,"male",25,0,0,7.65,"S",0
"59",950,3,"male",23,1,0,16.1,"S",0
"60",951,1,"female",36,0,0,262.375,"C",1
"61",952,3,"male",17,0,0,7.8958,"S",0
"62",953,2,"male",32,0,0,13.5,"S",0
"63",954,3,"male",18,0,0,7.75,"S",0
"64",955,3,"female",22,0,0,7.725,"Q",1
"65",956,1,"male",13,2,2,262.375,"C",1
"66",957,2,"female",31.5,0,0,21,"S",1
"67",958,3,"female",18,0,0,7.8792,"Q",1
"68",959,1,"male",47,0,0,42.4,"S",0
"69",960,1,"male",31,0,0,28.5375,"C",1
"70",961,1,"female",60,1,4,263,"S",1
"71",962,3,"female",24,0,0,7.75,"Q",1
"72",963,3,"male",21,0,0,7.8958,"S",0
"73",964,3,"female",29,0,0,7.925,"S",1
"74",965,1,"male",28.5,0,0,27.7208,"C",1
"75",966,1,"female",35,0,0,211.5,"C",1
"76",967,1,"male",32.5,0,0,211.5,"C",0
"77",968,3,"male",24.5,0,0,8.05,"S",0
"78",969,1,"female",55,2,0,25.7,"S",1
"79",970,2,"male",30,0,0,13,"S",0
"80",971,3,"female",24,0,0,7.75,"Q",1
"81",972,3,"male",6,1,1,15.2458,"C",0
"82",973,1,"male",67,1,0,221.7792,"S",0
"83",974,1,"male",49,0,0,26,"S",0
"84",975,3,"male",24.5,0,0,7.8958,"S",0
"85",976,2,"male",31.5,0,0,10.7083,"Q",0
"86",977,3,"male",23,1,0,14.4542,"C",0
"87",978,3,"female",27,0,0,7.8792,"Q",1
"88",979,3,"female",18,0,0,8.05,"S",1
"89",980,3,"female",24.5,0,0,7.75,"Q",1
"90",981,2,"male",2,1,1,23,"S",0
"91",982,3,"female",22,1,0,13.9,"S",1
"92",983,3,"male",24.5,0,0,7.775,"S",0
"93",984,1,"female",27,1,2,52,"S",1
"94",985,3,"male",24.5,0,0,8.05,"S",0
"95",986,1,"male",25,0,0,26,"C",1
"96",987,3,"male",25,0,0,7.7958,"S",0
"97",988,1,"female",76,1,0,78.85,"S",0
"98",989,3,"male",29,0,0,7.925,"S",0
"99",990,3,"female",20,0,0,7.8542,"S",1
"100",991,3,"male",33,0,0,8.05,"S",0
"101",992,1,"female",43,1,0,55.4417,"C",1
"102",993,2,"male",27,1,0,26,"S",0
"103",994,3,"male",24.5,0,0,7.75,"Q",0
"104",995,3,"male",26,0,0,7.775,"S",0
"105",996,3,"female",16,1,1,8.5167,"C",1
"106",997,3,"male",28,0,0,22.525,"S",0
"107",998,3,"male",21,0,0,7.8208,"Q",0
"108",999,3,"male",24.5,0,0,7.75,"Q",0
"109",1000,3,"male",24.5,0,0,8.7125,"S",0
"110",1001,2,"male",18.5,0,0,13,"S",0
"111",1002,2,"male",41,0,0,15.0458,"C",0
"112",1003,3,"female",24.5,0,0,7.7792,"Q",1
"113",1004,1,"female",36,0,0,31.6792,"C",1
"114",1005,3,"female",18.5,0,0,7.2833,"Q",1
"115",1006,1,"female",63,1,0,221.7792,"S",1
"116",1007,3,"male",18,1,0,14.4542,"C",0
